Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Enabled GHOST KITCHEN,Current Quantity GHOST KITCHEN,New Quantity GHOST KITCHEN,Stock Alert Enabled GHOST KITCHEN,Stock Alert Count GHOST KITCHEN,Price GHOST KITCHEN,Enabled Istanbul Mediterranean,Current Quantity Istanbul Mediterranean,New Quantity Istanbul Mediterranean,Stock Alert Enabled Istanbul Mediterranean,Stock Alert Count Istanbul Mediterranean,Price Istanbul Mediterranean,Modifier Set - Add Your Extras,Modifier Set - Choose Your Sauces (Served on the Side),Modifier Set - Choose Your Veggies,Modifier Set - Extra Pita,Modifier Set - Extra Protein
RVFIFKFGKP3LDM2VA6BCMPSR,Chicken Döner (Shawarma) Rice Bowl,Regular,,"Savor our Chicken Doner Rice Bowl. Fresh shaved Chicken Doner (Shawarma) served over seasoned rice with lettuce, tomatoes, onion with parsley mix, pickles. Customize with House, White Tzatziki, Red Chili or Tahini. A delicious Mediterranean experience in a bowl","RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ), RICE BOWLS (IDO6JTCI633SZK6UIZRWWMFQ)",RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ),Mouthwatering Chicken Doner Rice Bowl - Authentic Mediterranean Delight at Istanbul Mediterranean Las Vegas,"Experience the mouthwatering flavors of our Chicken Doner Rice Bowl at Istanbul Mediterranean Las Vegas. Indulge in fresh shaved Chicken Doner (Gyro) served over seasoned rice, accompanied by crisp lettuce, tomatoes, onion with parsley mix, and tangy pickles. Customize your bowl with your choice of signature sauces: House, White Tzatziki, Red Chili, Tahini, or Garlic Shawarma Spread. Enjoy a delectable taste of the Mediterranean in every bite with our Chicken Doner Rice Bowl.",chicken_doner_rice_bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
ZBRNBQ2SC234MGRRTAIYOZLI,Chicken Döner (Shawarma) Salad Bowl,Regular,,Experience the perfect blend of flavors with our Chicken Döner (Shawarma) Salad Bowl. Indulge in succulent marinated chicken shawarma paired with fresh and crisp salad ingredients for a truly satisfying and healthy meal option. Elevate your lunch or dinner routine with this delicious and nutritious choice today!,SALAD BOWLS,SALAD BOWLS,,,,,visible,Physical good,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
CW62476JLTZIMZS5RRSDKTFS,Chicken Döner (Shawarma) Turkish Pita,Regular,,"Indulge in the tantalizing flavors of our Chicken Döner (Shawarma) Turkish Pita. Made with succulent chicken shawarma in a fresh Turkish pita bread, this dish is a culinary delight that will transport your taste buds to the streets of Turkey. Experience the perfect blend of savory spices and tender meat in every bite. Elevate your dining experience with our authentic Chicken Döner (Shawarma) Turkish Pita today!","TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342), TURKISH PITA (QOZWUEBYZ2KZA6Z4AHWDXN4T)",TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342),,,,,visible,Physical good,,,,N,N,Y,Y,16.68,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
VW5NJRIRRRNNFVYSV4FWOXFE,Chikofte Pita Sandwich,Regular,,,PITA,PITA,,,,,unavailable,Physical good,,,,N,N,N,N,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
JAAEVU7BAN25NJSGPMRHAGYE,Chikofte Salad Bowl,Regular,,,,,,,,,unavailable,Physical good,,,,N,N,N,N,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,Y,Y,N
MG2XS2YT3TQVBT2R24DW3KYP,Chikofte Salad Bowl,Regular,,,,,,,,,unavailable,Physical good,,,,N,N,N,N,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
DGBHOC3ZFIIY6DZVFAGMUAOU,Chikofte Side,Regular,,,SIDES (P4UDVM47WMBWY7UAJDOH7BI5),SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,unavailable,Physical good,,,,N,N,N,N,5.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
WS2R3QPGJK3Y2FFJWFVCXDGV,Chikofte Wrap,Regular,,,LAVASH WRAPS > LAVASH WRAPS,LAVASH WRAPS > LAVASH WRAPS,,,,,unavailable,Physical good,,,,N,N,N,N,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,Y,N,N
EKFXEST6VKBGX3K5PKGDEXGJ,Coke,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
47TV3RRL4IJNSMVTDAOH5NWM,Coke Zero,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
UD6QYSWH7SVZTNVVCQXDLNQE,Diet Coke,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
YFJIG6C6RJ3L772JSLF7O7XO,Dr Pepper,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
S7UQR5ZLALBXLKOCT7LFP4NZ,Extra Pita,Regular,,"Soft and warm pita bread with a fluffy texture, perfect for dipping into your favorite spreads and sauces.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,1.00,,N,,N,,Y,,,Y,,,,,,Y,,,,,,N,N,N,N,N
37LPEXDI2OECKDNCW4OYPNMD,Falafel French Fries Bowl,Regular,,"Delight in our Falafel French Fries Bowl, a vegetarian delight that combines crispy falafel with golden fries for a satisfying meal. Topped with fresh lettuce, juicy tomatoes, tangy pickles, and your choice of sauces.","FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA), FRENCH FRIES BOWLS (RKHD4AFXLHUKNRYMFBDSGHUV)",FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA),Flavorful Falafel French Fries Bowl - Vegetarian Delight at Istanbul Mediterranean Las Vegas,"Savor the delightful combination of crispy falafel and golden fries in our Falafel French Fries Bowl. Topped with fresh lettuce, juicy tomatoes, crunchy cucumbers, tangy pickles, and your choice of sauces: House, White Tzatziki, Red Chili, Tahini Tarator, or Garlic Shawarma Spread, this vegetarian delight is a taste of the Mediterranean you'll love. Experience a burst of flavors and textures in every bite at Istanbul Mediterranean Las Vegas.",falafel-french-fries-bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
5BFE7OK6XHIROWU42A52HXUV,Falafel Lavash Wrap,Regular,,"Enjoy our savory Falafel Lavash Wrap with homemade falafel wrapped in soft lavash bread. Filled with fresh lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles. Customize with House, White Tzatziki, Red Chili Garlic, or Tahini sauce. Wholesome Mediterranean goodness awaits at Istanbul Mediterranean","LAVASH WRAPS > LAVASH WRAPS, LAVASH WRAPS",LAVASH WRAPS > LAVASH WRAPS,Flavorful Falafel Lavash Wrap - Vegetarian Delight at Istanbul Mediterranean Las Vegas,"Savor the delightful combination of homemade falafel wrapped in a soft and thin lavash bread in our Falafel Lavash Wrap. Filled with fresh lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles, this vegetarian delight can be customized with your choice of signature sauces: House, White Tzatziki, Red Chili Garlic, or Tahini. Enjoy the wholesome goodness of Mediterranean flavors in every bite at Istanbul Mediterranean Las Vegas",falafel-wrap,,visible,Prepared food and beverage,,,,N,N,Y,Y,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
UAHSD5EU333JPHCZ4RY465YL,Falafel Pita,Regular,,"Enjoy our flavorful Falafel Pita Sandwich, filled with fresh lettuce, tomatoes, onion with parsley mix, tangy pickles, and homemade falafel. Served with your choice of sauce. A delightful vegetarian option at Istanbul Mediterranean.","PITA, PITA SANDWICHES",PITA,Flavorful Falafel Pita Sandwich - Vegetarian Delight at Istanbul Mediterranean Las Vegas,"Savor the delightful combination of homemade falafel, fresh veggies, and tangy sauces in our Falafel Pita Sandwich. Made with a fluffy pita, it is filled with crisp lettuce, juicy tomatoes, onion with parsley mix, tangy pickles, and complemented by our traditional house sauce, creamy tzatziki (white) sauce, and zesty red chili garlic sauce. Experience a burst of flavors and textures in this vegetarian delight at Istanbul Mediterranean Las Vegas.",falafel-pita,,visible,Prepared food and beverage,,,,N,N,Y,Y,15.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
YI4PDYLNRSRWERTECBFKHXHZ,Falafel Rice Bowl,Regular,,"Experience our delightful Falafel Rice Bowl with homemade falafel over seasoned rice. Topped with crisp lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles, it offers a burst of flavors. Customize with House, White Tzatziki, Red Chili Garlic, or Tahini sauce. Wholesome Mediterranean goodness awaits at Istanbul Mediterranean.","RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ), RICE BOWLS (IDO6JTCI633SZK6UIZRWWMFQ)",RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ),Wholesome Falafel Rice Bowl - Mediterranean Delight at Istanbul Mediterranean Las Vegas,"Enjoy our flavorful Falafel Rice Bowl with homemade falafel served over seasoned rice. Topped with fresh veggies and tangy pickles, customize it with House, White Tzatziki, Red Chili Garlic, or Tahini sauce. Delight in Mediterranean goodness at Istanbul Mediterranean Las Vegas.",falafel-rice-bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
LFH2UFFJDZVGKV5BHGRLEWQZ,Falafel Salad Bowl,Regular,,"Indulge in the freshness and flavor of our Falafel Salad Bowl. This vegan delight combines crisp, homemade falafel with a colorful array of garden-fresh salad ingredients. Elevate your lunch or dinner routine with this nutritious and satisfying option. Order our Falafel Salad Bowl today and treat yourself to a wholesome dining experience.",SALAD BOWLS,SALAD BOWLS,,,,,visible,Physical good,,,,N,N,Y,Y,20.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
ZQM6IYHQJMVL6OTWPUASDN2P,Falafel Side (4 Pieces),Regular,,"Four pieces of golden, crispy falafel, made from a blend of chickpeas, fresh herbs, and aromatic spices, perfect for a flavorful and satisfying side dish.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N
ZBD2WWBHGWEGQNXLJ3X25SBR,Falafel Turkish Pita,Regular,,"Experience the authentic Turkish flavors with our Falafel Turkish Pita. Each bite offers a delightful crunch of crispy falafel nestled in fresh pita bread, creating a harmonious blend of textures and tastes. Elevate your dining experience with this traditional Turkish delight today.","TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342), TURKISH PITA (QOZWUEBYZ2KZA6Z4AHWDXN4T)",TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342),,,,,visible,Physical good,,,,N,N,Y,Y,16.68,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
MESICWUZQ7RXSH2JGGSAQ742,French Fries,Regular,,"Golden, crispy crinkle-cut fries with a perfect crunch in each bite, offering a delightful texture and savory taste.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N
UCDXUU6YVGX7JV6YAIL6NUEV,Hummus,hummus,,"Creamy hummus topped with a rich sun-dried tomato paste, served with warm, fluffy pita bread.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,Y,N
ZVSJBSQLH6L25ZTP7OGKX5UP,Ice cream,Regular,,,,,,,,,unavailable,Prepared food and beverage,,,,N,N,Y,Y,7.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
7LU4YADBJ2JQEDQANGHYAKY7,Mixed Döner (Beef&Lamb and Chicken Shawarma) French Fries Bowl,Regular,,"Experience our Mix Doner French Fries Bowl, featuring fresh shaved Beef & Chicken Doner (Shawarma) served over seasoned French fries. Topped with crisp lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles. Customize with your choice of sauce.","FRENCH FRIES BOWLS (RKHD4AFXLHUKNRYMFBDSGHUV), FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA)",FRENCH FRIES BOWLS (PV5BD5JPZB2DOC5YJMKA72HA),Flavorful Mix Doner French Fries Bowl - Savory Delight at Istanbul Mediterranean Las Vegas,"Savor the delightful combination of fresh shaved Beef & Chicken Doner (Gyro/Shawarma) served over seasoned French fries in our Mix Doner French Fries Bowl. Topped with fresh lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles, customize it with House, White Tzatziki, Red Chili Garlic, Tahini, or Shawarma Garlic Spread sauce. Experience a burst of flavors and textures at Istanbul Mediterranean Las Vegas",mix-doner-french-fries-bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,21.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
HNBSFUY2S6YSRTYR4YUFH43R,Mixed Döner (Beef&Lamb and Chicken Shawarma) Lavash Wrap,Regular,,"Indulge in our Mix Doner Wrap, featuring our original homemade lavash wrap filled with a delightful combination of lettuce, tomatoes, onion with parsley mix, pickles, and succulent Beef&Lamb and Chicken Doner (Shawarma). Customize your wrap with your choice of our signature sauces: House, White Tzatziki, Red Chili Garlic or Tahini.","LAVASH WRAPS, LAVASH WRAPS > LAVASH WRAPS",LAVASH WRAPS > LAVASH WRAPS,Delicious Mix Doner Wrap - Savory Blend of Chicken & Beef at Istanbul Mediterranean Las Vegas,"Savor the delightful combination of succulent Chicken & Beef Doner (Gyro/Shawarma) in our Mix Doner Wrap. Filled with fresh lettuce, tomatoes, onion with parsley mix, pickles, and complemented by your choice of signature sauces: House, White Tzatziki, Red Chili Garlic, Tahini (Tarator), or Shawarma Garlic Spread. Experience a burst of flavors and textures at Istanbul Mediterranean Las Vegas.",mix-doner-wrap,,visible,Prepared food and beverage,,,,N,N,Y,Y,16.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
G56TAQSMOMCBATOXZD3IFNJ6,Mixed Döner (Beef&Lamb and Chicken Shawarma) Pita,Regular,,"Indulge in our Mix Doner Pita, featuring a pita bread filled with a delightful combination of lettuce, tomatoes, onion with parsley mix, pickles, and succulent Mix Doner (Shawarma). Customize your pita with a choice of our signature sauces: House, White Tzatziki, Red Chili Garlic or Tahini.","PITA SANDWICHES, PITA",PITA,Delicious Mix Doner Pita - Savory Blend of Chicken & Beef at Istanbul Mediterranean Las Vegas,"Savor the delightful combination of succulent Chicken & Beef Doner (Gyro/Shawarma) in our Mix Doner Pita. Filled with fresh lettuce, tomatoes, onion with parsley mix, pickles, and complemented by your choice of signature sauces: House, White Tzatziki, Red Chili Garlic, Tahini (Tarator), or Shawarma Garlic Spread. Experience a burst of flavors and textures at Istanbul Mediterranean Las Vegas.",mix-doner-pita,,visible,Prepared food and beverage,,,,N,N,Y,Y,16.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
